ts            src                des             seq      ack      check(win)      direction         
0.159339      41.177.26.193      244.3.160.248      0      1      64240      41.177.26.193->244.3.160.248      
0.160504      41.177.26.193      244.3.160.248      1      1461      62780      41.177.26.193->244.3.160.248      
0.160509      41.177.26.193      244.3.160.248      1      1633      62608      41.177.26.193->244.3.160.248      
0.164449      41.177.26.193      244.3.160.248      1      1633      64240      41.177.26.193->244.3.160.248      
0.167143      41.177.26.193      244.3.160.248      1      1633      64240      41.177.26.193->244.3.160.248      
0.167274      41.177.26.193      244.3.160.248      223      1633      64240      41.177.26.193->244.3.160.248      
0.167294      41.177.26.193      244.3.160.248      1683      1633      64240      41.177.26.193->244.3.160.248      
0.167631      41.177.26.193      244.3.160.248      3143      1633      64240      41.177.26.193->244.3.160.248      
0.167652      41.177.26.193      244.3.160.248      4603      1633      64240      41.177.26.193->244.3.160.248      
0.167902      41.177.26.193      244.3.160.248      6063      1633      64240      41.177.26.193->244.3.160.248      
0.167923      41.177.26.193      244.3.160.248      7523      1633      64240      41.177.26.193->244.3.160.248      
0.168295      41.177.26.193      244.3.160.248      8983      1633      64240      41.177.26.193->244.3.160.248      
0.168326      41.177.26.193      244.3.160.248      10443      1633      64240      41.177.26.193->244.3.160.248      
0.168381      41.177.26.193      244.3.160.248      11903      1633      64240      41.177.26.193->244.3.160.248      
0.168660      41.177.26.193      244.3.160.248      13363      1633      64240      41.177.26.193->244.3.160.248      
0.168682      41.177.26.193      244.3.160.248      14823      1633      64240      41.177.26.193->244.3.160.248      
0.168712      41.177.26.193      244.3.160.248      16283      1633      64240      41.177.26.193->244.3.160.248      
0.169416      41.177.26.193      244.3.160.248      17743      1633      64240      41.177.26.193->244.3.160.248      
0.169450      41.177.26.193      244.3.160.248      19203      1633      64240      41.177.26.193->244.3.160.248      
0.169480      41.177.26.193      244.3.160.248      20663      1633      64240      41.177.26.193->244.3.160.248      
0.169509      41.177.26.193      244.3.160.248      22123      1633      64240      41.177.26.193->244.3.160.248      
0.169550      41.177.26.193      244.3.160.248      23583      1633      64240      41.177.26.193->244.3.160.248      
0.169570      41.177.26.193      244.3.160.248      25043      1633      64240      41.177.26.193->244.3.160.248      
0.169605      41.177.26.193      244.3.160.248      26503      1633      64240      41.177.26.193->244.3.160.248      
0.169633      41.177.26.193      244.3.160.248      27963      1633      64240      41.177.26.193->244.3.160.248      
0.169654      41.177.26.193      244.3.160.248      29423      1633      64240      41.177.26.193->244.3.160.248      
0.170169      41.177.26.193      244.3.160.248      30883      1633      64240      41.177.26.193->244.3.160.248      
0.170182      41.177.26.193      244.3.160.248      32343      1633      64240      41.177.26.193->244.3.160.248      
0.170186      41.177.26.193      244.3.160.248      33803      1633      64240      41.177.26.193->244.3.160.248      
0.173411      41.177.26.193      244.3.160.248      33894      1634      64240      41.177.26.193->244.3.160.248      
0.173479      41.177.26.193      244.3.160.248      33894      1634      64240      41.177.26.193->244.3.160.248      
4.704457      41.177.26.193      244.3.160.248      1      1      64240      41.177.26.193->244.3.160.248      
14.256212      41.177.26.193      244.3.160.248      0      1      64240      41.177.26.193->244.3.160.248      
14.257171      41.177.26.193      244.3.160.248      1      1461      62780      41.177.26.193->244.3.160.248      
14.257176      41.177.26.193      244.3.160.248      1      1749      62492      41.177.26.193->244.3.160.248      
14.264604      41.177.26.193      244.3.160.248      1      1749      64240      41.177.26.193->244.3.160.248      
14.306816      41.177.26.193      244.3.160.248      1      1749      64240      41.177.26.193->244.3.160.248      
14.306837      41.177.26.193      244.3.160.248      1461      1749      64240      41.177.26.193->244.3.160.248      
14.306857      41.177.26.193      244.3.160.248      2921      1749      64240      41.177.26.193->244.3.160.248      
14.307448      41.177.26.193      244.3.160.248      4381      1749      64240      41.177.26.193->244.3.160.248      
14.307957      41.177.26.193      244.3.160.248      4905      1750      64240      41.177.26.193->244.3.160.248      
14.308022      41.177.26.193      244.3.160.248      4905      1750      64240      41.177.26.193->244.3.160.248      
14.345270      41.177.26.193      244.3.160.248      0      1      64240      41.177.26.193->244.3.160.248      
14.346268      41.177.26.193      244.3.160.248      1      1461      62780      41.177.26.193->244.3.160.248      
14.346272      41.177.26.193      244.3.160.248      1      1632      62609      41.177.26.193->244.3.160.248      
14.354586      41.177.26.193      244.3.160.248      1      1632      64240      41.177.26.193->244.3.160.248      
14.357842      41.177.26.193      244.3.160.248      1      1632      64240      41.177.26.193->244.3.160.248      
14.357973      41.177.26.193      244.3.160.248      223      1632      64240      41.177.26.193->244.3.160.248      
14.357994      41.177.26.193      244.3.160.248      1683      1632      64240      41.177.26.193->244.3.160.248      
14.358405      41.177.26.193      244.3.160.248      3143      1632      64240      41.177.26.193->244.3.160.248      
14.358426      41.177.26.193      244.3.160.248      4603      1632      64240      41.177.26.193->244.3.160.248      
14.358637      41.177.26.193      244.3.160.248      6063      1632      64240      41.177.26.193->244.3.160.248      
14.358657      41.177.26.193      244.3.160.248      7523      1632      64240      41.177.26.193->244.3.160.248      
14.359048      41.177.26.193      244.3.160.248      8983      1632      64240      41.177.26.193->244.3.160.248      
14.359069      41.177.26.193      244.3.160.248      10443      1632      64240      41.177.26.193->244.3.160.248      
14.359096      41.177.26.193      244.3.160.248      11903      1632      64240      41.177.26.193->244.3.160.248      
14.359435      41.177.26.193      244.3.160.248      13363      1632      64240      41.177.26.193->244.3.160.248      
14.359456      41.177.26.193      244.3.160.248      14823      1632      64240      41.177.26.193->244.3.160.248      
14.359485      41.177.26.193      244.3.160.248      16283      1632      64240      41.177.26.193->244.3.160.248      
14.360175      41.177.26.193      244.3.160.248      17743      1632      64240      41.177.26.193->244.3.160.248      
14.360220      41.177.26.193      244.3.160.248      19203      1632      64240      41.177.26.193->244.3.160.248      
14.360250      41.177.26.193      244.3.160.248      20663      1632      64240      41.177.26.193->244.3.160.248      
14.360280      41.177.26.193      244.3.160.248      22123      1632      64240      41.177.26.193->244.3.160.248      
14.360312      41.177.26.193      244.3.160.248      23583      1632      64240      41.177.26.193->244.3.160.248      
14.360345      41.177.26.193      244.3.160.248      25043      1632      64240      41.177.26.193->244.3.160.248      
14.360350      41.177.26.193      244.3.160.248      26503      1632      64240      41.177.26.193->244.3.160.248      
14.362103      41.177.26.193      244.3.160.248      27285      1633      64240      41.177.26.193->244.3.160.248      
14.362170      41.177.26.193      244.3.160.248      27285      1633      64240      41.177.26.193->244.3.160.248      
15.330015      41.177.26.193      244.3.160.248      2      2      64240      41.177.26.193->244.3.160.248      
15.366180      41.177.26.193      244.3.160.248      0      1      64240      41.177.26.193->244.3.160.248      
15.372226      41.177.26.193      244.3.160.248      1      1461      62780      41.177.26.193->244.3.160.248      
15.372231      41.177.26.193      244.3.160.248      1      2366      61875      41.177.26.193->244.3.160.248      
15.374560      41.177.26.193      244.3.160.248      1      2366      64240      41.177.26.193->244.3.160.248      
15.478582      41.177.26.193      244.3.160.248      1      2366      64240      41.177.26.193->244.3.160.248      
15.525015      41.177.26.193      244.3.160.248      455      4118      64240      41.177.26.193->244.3.160.248      
18.577008      41.177.26.193      244.3.160.248      455      4118      64240      41.177.26.193->244.3.160.248      
18.577031      41.177.26.193      244.3.160.248      1915      4118      64240      41.177.26.193->244.3.160.248      
18.577053      41.177.26.193      244.3.160.248      3375      4118      64240      41.177.26.193->244.3.160.248      
18.577074      41.177.26.193      244.3.160.248      4835      4118      64240      41.177.26.193->244.3.160.248      
18.577760      41.177.26.193      244.3.160.248      6295      4118      64240      41.177.26.193->244.3.160.248      
18.577790      41.177.26.193      244.3.160.248      7755      4118      64240      41.177.26.193->244.3.160.248      
18.578450      41.177.26.193      244.3.160.248      9215      4118      64240      41.177.26.193->244.3.160.248      
18.578540      41.177.26.193      244.3.160.248      10675      4118      64240      41.177.26.193->244.3.160.248      
18.578572      41.177.26.193      244.3.160.248      12135      4118      64240      41.177.26.193->244.3.160.248      
18.579317      41.177.26.193      244.3.160.248      13595      4118      64240      41.177.26.193->244.3.160.248      
18.579347      41.177.26.193      244.3.160.248      15055      4118      64240      41.177.26.193->244.3.160.248      
18.579376      41.177.26.193      244.3.160.248      16515      4118      64240      41.177.26.193->244.3.160.248      
18.580477      41.177.26.193      244.3.160.248      17975      4118      64240      41.177.26.193->244.3.160.248      
18.580509      41.177.26.193      244.3.160.248      19435      4118      64240      41.177.26.193->244.3.160.248      
18.580537      41.177.26.193      244.3.160.248      20895      4118      64240      41.177.26.193->244.3.160.248      
18.580566      41.177.26.193      244.3.160.248      22355      4118      64240      41.177.26.193->244.3.160.248      
18.580600      41.177.26.193      244.3.160.248      23815      4118      64240      41.177.26.193->244.3.160.248      
18.580634      41.177.26.193      244.3.160.248      25275      4118      64240      41.177.26.193->244.3.160.248      
18.580806      41.177.26.193      244.3.160.248      26735      4118      64240      41.177.26.193->244.3.160.248      
18.580840      41.177.26.193      244.3.160.248      28195      4118      64240      41.177.26.193->244.3.160.248      
18.580868      41.177.26.193      244.3.160.248      29655      4118      64240      41.177.26.193->244.3.160.248      
18.581276      41.177.26.193      244.3.160.248      31115      4118      64240      41.177.26.193->244.3.160.248      
18.581305      41.177.26.193      244.3.160.248      32575      4118      64240      41.177.26.193->244.3.160.248      
18.581334      41.177.26.193      244.3.160.248      34035      4118      64240      41.177.26.193->244.3.160.248      
18.581664      41.177.26.193      244.3.160.248      35495      4118      64240      41.177.26.193->244.3.160.248      
18.581698      41.177.26.193      244.3.160.248      36955      4118      64240      41.177.26.193->244.3.160.248      
18.581728      41.177.26.193      244.3.160.248      38415      4118      64240      41.177.26.193->244.3.160.248      
18.581764      41.177.26.193      244.3.160.248      39875      4118      64240      41.177.26.193->244.3.160.248      
18.581785      41.177.26.193      244.3.160.248      41335      4118      64240      41.177.26.193->244.3.160.248      
18.581812      41.177.26.193      244.3.160.248      42795      4118      64240      41.177.26.193->244.3.160.248      
18.582290      41.177.26.193      244.3.160.248      44255      4118      64240      41.177.26.193->244.3.160.248      
18.582325      41.177.26.193      244.3.160.248      45715      4118      64240      41.177.26.193->244.3.160.248      
18.582345      41.177.26.193      244.3.160.248      47175      4118      64240      41.177.26.193->244.3.160.248      
18.596800      41.177.26.193      244.3.160.248      48635      4118      64240      41.177.26.193->244.3.160.248      
18.596820      41.177.26.193      244.3.160.248      50095      4118      64240      41.177.26.193->244.3.160.248      
18.596850      41.177.26.193      244.3.160.248      51555      4118      64240      41.177.26.193->244.3.160.248      
18.596886      41.177.26.193      244.3.160.248      53015      4118      64240      41.177.26.193->244.3.160.248      
18.596907      41.177.26.193      244.3.160.248      54475      4118      64240      41.177.26.193->244.3.160.248      
18.596948      41.177.26.193      244.3.160.248      55935      4118      64240      41.177.26.193->244.3.160.248      
18.596970      41.177.26.193      244.3.160.248      57395      4118      64240      41.177.26.193->244.3.160.248      
18.597002      41.177.26.193      244.3.160.248      58855      4118      64240      41.177.26.193->244.3.160.248      
18.597023      41.177.26.193      244.3.160.248      60315      4118      64240      41.177.26.193->244.3.160.248      
18.597058      41.177.26.193      244.3.160.248      61775      4118      64240      41.177.26.193->244.3.160.248      
18.597081      41.177.26.193      244.3.160.248      63235      4118      64240      41.177.26.193->244.3.160.248      
18.597108      41.177.26.193      244.3.160.248      64695      4118      64240      41.177.26.193->244.3.160.248      
18.597131      41.177.26.193      244.3.160.248      66155      4118      64240      41.177.26.193->244.3.160.248      
18.597157      41.177.26.193      244.3.160.248      67615      4118      64240      41.177.26.193->244.3.160.248      
18.597181      41.177.26.193      244.3.160.248      69075      4118      64240      41.177.26.193->244.3.160.248      
18.597203      41.177.26.193      244.3.160.248      70535      4118      64240      41.177.26.193->244.3.160.248      
18.597230      41.177.26.193      244.3.160.248      71995      4118      64240      41.177.26.193->244.3.160.248      
18.608875      41.177.26.193      244.3.160.248      73455      4118      64240      41.177.26.193->244.3.160.248      
18.608929      41.177.26.193      244.3.160.248      74915      4118      64240      41.177.26.193->244.3.160.248      
18.608938      41.177.26.193      244.3.160.248      76375      4118      64240      41.177.26.193->244.3.160.248      
18.608945      41.177.26.193      244.3.160.248      77835      4118      64240      41.177.26.193->244.3.160.248      
18.608978      41.177.26.193      244.3.160.248      79295      4118      64240      41.177.26.193->244.3.160.248      
18.608982      41.177.26.193      244.3.160.248      80755      4118      64240      41.177.26.193->244.3.160.248      
19.438299      41.177.26.193      244.3.160.248      0      1      64240      41.177.26.193->244.3.160.248      
19.439433      41.177.26.193      244.3.160.248      1      1461      62780      41.177.26.193->244.3.160.248      
19.439438      41.177.26.193      244.3.160.248      1      2118      62123      41.177.26.193->244.3.160.248      
19.444650      41.177.26.193      244.3.160.248      1      2118      64240      41.177.26.193->244.3.160.248      
19.481073      41.177.26.193      244.3.160.248      1      2118      64240      41.177.26.193->244.3.160.248      
19.482116      41.177.26.193      244.3.160.248      455      2119      64240      41.177.26.193->244.3.160.248      
19.482228      41.177.26.193      244.3.160.248      455      2119      64240      41.177.26.193->244.3.160.248      
19.510282      41.177.26.193      244.3.160.248      0      1      64240      41.177.26.193->244.3.160.248      
19.511334      41.177.26.193      244.3.160.248      1      1461      62780      41.177.26.193->244.3.160.248      
19.511338      41.177.26.193      244.3.160.248      1      1845      62396      41.177.26.193->244.3.160.248      
19.514625      41.177.26.193      244.3.160.248      1      1845      64240      41.177.26.193->244.3.160.248      
23.584707      41.177.26.193      244.3.160.248      82155      4118      64240      41.177.26.193->244.3.160.248      
30.624117      41.177.26.193      244.3.160.248      1      1845      64240      41.177.26.193->244.3.160.248      
30.624138      41.177.26.193      244.3.160.248      1461      1845      64240      41.177.26.193->244.3.160.248      
30.624158      41.177.26.193      244.3.160.248      2921      1845      64240      41.177.26.193->244.3.160.248      
30.624906      41.177.26.193      244.3.160.248      4381      1845      64240      41.177.26.193->244.3.160.248      
30.624928      41.177.26.193      244.3.160.248      5841      1845      64240      41.177.26.193->244.3.160.248      
30.625291      41.177.26.193      244.3.160.248      7301      1845      64240      41.177.26.193->244.3.160.248      
30.625322      41.177.26.193      244.3.160.248      8761      1845      64240      41.177.26.193->244.3.160.248      
30.625676      41.177.26.193      244.3.160.248      10221      1845      64240      41.177.26.193->244.3.160.248      
30.625758      41.177.26.193      244.3.160.248      11681      1845      64240      41.177.26.193->244.3.160.248      
30.625788      41.177.26.193      244.3.160.248      13141      1845      64240      41.177.26.193->244.3.160.248      
30.626089      41.177.26.193      244.3.160.248      14601      1845      64240      41.177.26.193->244.3.160.248      
